Moment,Prudential policy,No-prudential policy,Difference
Average productivity $E[a_t]$,0.00959896098605468,0.00959896098605468,0.0
Mean unemployment $E[u_t]$,0.07336604610481058,0.06567561784079967,0.0076904282640109095
Frequency of binding DNWR $Pr(u_t>0)$,0.58291,0.62361,-0.04069999999999996
Mean unemployment if binding $E[u_t\mid u_t>0]$,0.12586170438800257,0.1053152095713662,0.020546494816636368
95th percentile of unemployment,0.25788774781477625,0.2298495421418304,0.02803820567294585
Volatility of output gap $sd(y_t-a_t)$,0.09155879187441879,0.08070849842543075,0.010850293448988038
Volatility of inflation $sd(\pi_t)$,0.13255651604735716,0.14369718559347855,-0.01114066954612139
Average welfare flow $E[w_t]$,-1.0013830639577492,-1.0042929857117828,0.0029099217540335953
